Group,Rank,Team,MP,W,D,L,GF,GA,GD,Pts,Adv%
Group A,1,South Korea,3,0,3,0,3,3,+0,3,58.4
Group A,2,Czech Republic,3,0,3,0,3,3,+0,3,38.5
Group A,3,Mexico,3,0,3,0,2,2,+0,3,52.1
Group A,4,South Africa,3,0,3,0,2,2,+0,3,51.0
Group B,1,Canada,3,1,2,0,4,2,+2,5,75.3
Group B,2,Qatar,3,0,3,0,3,3,+0,3,35.6
Group B,3,Switzerland,3,0,3,0,3,3,+0,3,63.3
Group B,4,Bosnia and Herzegovina,3,0,2,1,2,4,-2,2,25.8
Group C,1,Morocco,3,3,0,0,5,0,+5,9,86.1
Group C,2,Brazil,3,1,1,1,3,2,+1,4,61.1
Group C,3,Haiti,3,1,1,1,3,4,-1,4,39.9
Group C,4,Scotland,3,0,0,3,1,6,-5,0,12.9
Group D,1,United States,3,1,2,0,3,2,+1,5,63.0
Group D,2,Australia,3,1,2,0,3,2,+1,5,72.4
Group D,3,Turkey,3,0,3,0,3,3,+0,3,45.3
Group D,4,Paraguay,3,0,1,2,1,3,-2,1,19.4
Group E,1,Germany,3,1,2,0,4,3,+1,5,65.4
Group E,2,Ivory Coast,3,0,3,0,2,2,+0,3,70.1
Group E,3,Ecuador,3,0,3,0,2,2,+0,3,36.3
Group E,4,Curaçao,3,0,2,1,3,4,-1,2,28.2
Group F,1,Japan,3,2,1,0,4,1,+3,7,78.6
Group F,2,Netherlands,3,1,2,0,4,3,+1,5,62.9
Group F,3,Tunisia,3,0,2,1,2,3,-1,2,39.5
Group F,4,Sweden,3,0,1,2,2,5,-3,1,19.0
Group G,1,Belgium,3,0,3,0,3,3,+0,3,63.2
Group G,2,New Zealand,3,0,3,0,3,3,+0,3,26.5
Group G,3,Egypt,3,0,3,0,2,2,+0,3,49.1
Group G,4,Iran,3,0,3,0,2,2,+0,3,61.2
Group H,1,Spain,3,3,0,0,5,0,+5,9,86.8
Group H,2,Uruguay,3,0,2,1,0,1,-1,2,45.2
Group H,3,Cape Verde,3,0,2,1,0,2,-2,2,39.9
Group H,4,Saudi Arabia,3,0,2,1,0,2,-2,2,28.2
Group I,1,France,3,1,2,0,3,2,+1,5,60.5
Group I,2,Senegal,3,1,2,0,3,2,+1,5,64.5
Group I,3,Norway,3,0,3,0,3,3,+0,3,50.5
Group I,4,Iraq,3,0,1,2,1,3,-2,1,24.5
Group J,1,Argentina,3,2,1,0,3,0,+3,7,79.2
Group J,2,Algeria,3,1,2,0,3,1,+2,5,65.5
Group J,3,Austria,3,0,2,1,2,3,-1,2,40.4
Group J,4,Jordan,3,0,1,2,1,5,-4,1,14.9
Group K,1,Portugal,3,1,2,0,3,2,+1,5,73.2
Group K,2,Uzbekistan,3,0,3,0,2,2,+0,3,43.1
Group K,3,Colombia,3,0,3,0,2,2,+0,3,41.3
Group K,4,DR Congo,3,0,2,1,0,1,-1,2,42.4
Group L,1,England,3,3,0,0,5,0,+5,9,88.2
Group L,2,Croatia,3,0,2,1,2,3,-1,2,57.8
Group L,3,Ghana,3,0,2,1,2,4,-2,2,26.7
Group L,4,Panama,3,0,2,1,2,4,-2,2,27.3
